date_t,date_t1,target_market_date,real_label,generated_label,real_signal,generated_signal,actual_direction,actual_return_1d,generated_direction_correct,real_direction_correct,abs_return_1d,volatility_bucket
2023-06-28,2023-06-29,2023-06-29,negative,neutral,-1,0,1,0.0039413612717758,False,False,0.0039413612717758,low
2023-06-29,2023-06-30,2023-06-30,positive,neutral,1,0,1,0.0118007203683925,False,True,0.0118007203683925,high
2023-07-03,2023-07-04,2023-07-05,neutral,positive,0,1,-1,-0.0014871981103706,False,False,0.0014871981103706,low
2023-07-05,2023-07-06,2023-07-06,positive,negative,1,-1,-1,-0.0078306618429523,True,False,0.0078306618429523,high
2023-07-06,2023-07-07,2023-07-07,neutral,negative,0,-1,-1,-0.0025247142334868,True,False,0.0025247142334868,low
2023-07-10,2023-07-11,2023-07-11,negative,neutral,-1,0,1,0.0063685297039677,False,False,0.0063685297039677,high
2023-07-11,2023-07-12,2023-07-12,negative,neutral,-1,0,1,0.0080459196929565,False,False,0.0080459196929565,high
2023-07-12,2023-07-13,2023-07-13,negative,positive,-1,1,1,0.0079368831714252,True,False,0.0079368831714252,high
2023-07-13,2023-07-14,2023-07-14,positive,positive,1,1,-1,-0.000622828500795,False,False,0.000622828500795,low
2023-07-14,2023-07-15,2023-07-17,neutral,positive,0,1,1,0.0034722167976146,True,False,0.0034722167976146,low
2023-07-17,2023-07-18,2023-07-18,negative,positive,-1,1,1,0.0074305876380251,True,False,0.0074305876380251,high
2023-07-18,2023-07-19,2023-07-19,positive,neutral,1,0,1,0.0022237604531052,False,True,0.0022237604531052,low
2023-07-19,2023-07-20,2023-07-20,negative,neutral,-1,0,-1,-0.0066344891262358,False,True,0.0066344891262358,high
2023-07-20,2023-07-21,2023-07-21,negative,neutral,-1,0,-1,0.0,False,True,0.0,low
2023-07-21,2023-07-22,2023-07-24,neutral,positive,0,1,1,0.0044672908221712,True,False,0.0044672908221712,low
2023-07-24,2023-07-25,2023-07-25,positive,neutral,1,0,1,0.0027300532828031,False,True,0.0027300532828031,low
2023-07-25,2023-07-26,2023-07-26,positive,positive,1,1,1,0.0001537136040827,True,True,0.0001537136040827,low
2023-07-26,2023-07-27,2023-07-27,negative,neutral,-1,0,-1,-0.0066299740214356,False,True,0.0066299740214356,high
2023-07-27,2023-07-28,2023-07-28,neutral,neutral,0,0,1,0.0097903230766822,False,False,0.0097903230766822,high
2023-07-28,2023-07-29,2023-07-31,positive,positive,1,1,1,0.0019040424836307,True,True,0.0019040424836307,low
2023-07-31,2023-08-01,2023-08-01,negative,neutral,-1,0,-1,-0.0028615686977475,False,True,0.0028615686977475,low
2023-08-01,2023-08-02,2023-08-02,negative,negative,-1,-1,-1,-0.0139108086897277,True,True,0.0139108086897277,high
2023-08-02,2023-08-03,2023-08-03,negative,negative,-1,-1,-1,-0.0028658577098359,True,True,0.0028658577098359,low
2023-08-03,2023-08-04,2023-08-04,negative,neutral,-1,0,-1,-0.0045227671238297,False,True,0.0045227671238297,low
2023-08-07,2023-08-08,2023-08-08,negative,neutral,-1,0,-1,-0.0043486754059977,False,True,0.0043486754059977,low
2023-08-08,2023-08-09,2023-08-09,negative,neutral,-1,0,-1,-0.0066852367688022,False,True,0.0066852367688022,high
2023-08-09,2023-08-10,2023-08-10,positive,neutral,1,0,1,0.0003589538129207,False,True,0.0003589538129207,low
2023-08-10,2023-08-11,2023-08-11,negative,neutral,-1,0,-1,-0.0005830991982453,False,True,0.0005830991982453,low
2023-08-11,2023-08-12,2023-08-14,neutral,negative,0,-1,1,0.0055200078284967,False,False,0.0055200078284967,high
2023-08-14,2023-08-15,2023-08-15,negative,neutral,-1,0,-1,-0.0116488604890822,False,True,0.0116488604890822,high
2023-08-15,2023-08-16,2023-08-16,neutral,neutral,0,0,-1,-0.0073381649901947,False,False,0.0073381649901947,high
2023-08-16,2023-08-17,2023-08-17,positive,neutral,1,0,-1,-0.0076198844324816,False,False,0.0076198844324816,high
2023-08-17,2023-08-18,2023-08-18,neutral,neutral,0,0,1,0.0004813116297996,False,False,0.0004813116297996,low
2023-08-18,2023-08-19,2023-08-21,neutral,neutral,0,0,1,0.0065062917248353,False,False,0.0065062917248353,high
2023-08-21,2023-08-22,2023-08-22,neutral,negative,0,-1,-1,-0.0027086139466597,True,False,0.0027086139466597,low
2023-08-22,2023-08-23,2023-08-23,neutral,neutral,0,0,1,0.0111377495168136,False,False,0.0111377495168136,high
2023-08-23,2023-08-24,2023-08-24,negative,neutral,-1,0,-1,-0.0138590708254004,False,True,0.0138590708254004,high
2023-08-24,2023-08-25,2023-08-25,neutral,negative,0,-1,1,0.0070497985053379,False,False,0.0070497985053379,high
2023-08-28,2023-08-29,2023-08-29,neutral,neutral,0,0,1,0.0144547695259835,False,False,0.0144547695259835,high
2023-08-29,2023-08-30,2023-08-30,neutral,neutral,0,0,1,0.0041188130920652,False,False,0.0041188130920652,low
2023-08-30,2023-08-31,2023-08-31,neutral,neutral,0,0,-1,-0.0014633902747576,False,False,0.0014633902747576,low
2023-08-31,2023-09-01,2023-09-01,positive,neutral,1,0,1,0.0018652077861802,False,True,0.0018652077861802,low
2023-09-05,2023-09-06,2023-09-06,neutral,negative,0,-1,-1,-0.0067224402976598,True,False,0.0067224402976598,high
2023-09-06,2023-09-07,2023-09-07,negative,positive,-1,1,-1,-0.0030702234625065,False,True,0.0030702234625065,low
2023-09-11,2023-09-12,2023-09-12,negative,negative,-1,-1,-1,-0.005485610225651,True,True,0.005485610225651,high
2023-09-12,2023-09-13,2023-09-13,neutral,neutral,0,0,1,0.0011659892433386,False,False,0.0011659892433386,low
2023-09-13,2023-09-14,2023-09-14,positive,neutral,1,0,1,0.0086223724031593,False,True,0.0086223724031593,high
2023-09-14,2023-09-15,2023-09-15,negative,neutral,-1,0,-1,-0.0155208954208452,False,True,0.0155208954208452,high
2023-09-18,2023-09-19,2023-09-19,positive,neutral,1,0,-1,-0.0020738304839804,False,False,0.0020738304839804,low
2023-09-19,2023-09-20,2023-09-20,positive,neutral,1,0,-1,-0.0091933249422802,False,False,0.0091933249422802,high
2023-09-20,2023-09-21,2023-09-21,negative,neutral,-1,0,-1,-0.016528359834683,False,True,0.016528359834683,high
2023-09-21,2023-09-22,2023-09-22,negative,negative,-1,-1,-1,-0.002248548153099,True,True,0.002248548153099,low
2023-09-22,2023-09-23,2023-09-25,neutral,negative,0,-1,1,0.0042051891225491,False,False,0.0042051891225491,low
2023-09-25,2023-09-26,2023-09-26,neutral,neutral,0,0,-1,-0.0146912660900736,False,False,0.0146912660900736,high
2023-09-26,2023-09-27,2023-09-27,negative,neutral,-1,0,1,0.0003991333432125,False,False,0.0003991333432125,low
2023-09-27,2023-09-28,2023-09-28,neutral,neutral,0,0,1,0.0057974446461042,False,False,0.0057974446461042,high
2023-09-28,2023-09-29,2023-09-29,positive,neutral,1,0,-1,-0.0024269066881511,False,False,0.0024269066881511,low
2023-10-02,2023-10-03,2023-10-03,positive,neutral,1,0,-1,-0.01338606925507,False,False,0.01338606925507,high
2023-10-03,2023-10-04,2023-10-04,positive,neutral,1,0,1,0.0072819738392422,False,True,0.0072819738392422,high
2023-10-04,2023-10-05,2023-10-05,neutral,positive,0,1,-1,-0.0003767806262175,False,False,0.0003767806262175,low
2023-10-05,2023-10-06,2023-10-06,neutral,neutral,0,0,1,0.0118728116488147,False,False,0.0118728116488147,high
2023-10-09,2023-10-10,2023-10-10,neutral,neutral,0,0,1,0.0052048392410766,False,False,0.0052048392410766,low
2023-10-10,2023-10-11,2023-10-11,positive,negative,1,-1,1,0.0040962828377006,False,True,0.0040962828377006,low
2023-10-11,2023-10-12,2023-10-12,negative,negative,-1,-1,-1,-0.0060964512684672,True,True,0.0060964512684672,high
2023-10-12,2023-10-13,2023-10-13,negative,positive,-1,1,-1,-0.0049808689846166,False,True,0.0049808689846166,low
2023-10-16,2023-10-17,2023-10-17,negative,positive,-1,1,-1,-4.591214305493807e-05,False,True,4.591214305493807e-05,low
2023-10-17,2023-10-18,2023-10-18,neutral,neutral,0,0,-1,-0.0133250715677889,False,False,0.0133250715677889,high
2023-10-18,2023-10-19,2023-10-19,negative,negative,-1,-1,-1,-0.0087864039756769,True,True,0.0087864039756769,high
2023-10-19,2023-10-20,2023-10-20,positive,negative,1,-1,-1,-0.0122880433467985,True,False,0.0122880433467985,high
2023-10-23,2023-10-24,2023-10-24,neutral,neutral,0,0,1,0.0075393937405647,False,False,0.0075393937405647,high
2023-10-24,2023-10-25,2023-10-25,neutral,positive,0,1,-1,-0.0143521870966756,False,False,0.0143521870966756,high
2023-10-25,2023-10-26,2023-10-26,neutral,neutral,0,0,-1,-0.0119746141687809,False,False,0.0119746141687809,high
2023-10-26,2023-10-27,2023-10-27,neutral,positive,0,1,-1,-0.0045327722034158,False,False,0.0045327722034158,low
2023-10-27,2023-10-28,2023-10-30,positive,neutral,1,0,1,0.0119557897868807,False,True,0.0119557897868807,high
2023-10-30,2023-10-31,2023-10-31,neutral,positive,0,1,1,0.0062802663493819,True,False,0.0062802663493819,high
2023-10-31,2023-11-01,2023-11-01,neutral,positive,0,1,1,0.0106647329624423,True,False,0.0106647329624423,high
2023-11-01,2023-11-02,2023-11-02,positive,neutral,1,0,1,0.0191643544062216,False,True,0.0191643544062216,high
2023-11-02,2023-11-03,2023-11-03,neutral,negative,0,-1,1,0.009123392577504,False,False,0.009123392577504,high
2023-11-03,2023-11-04,2023-11-06,positive,positive,1,1,1,0.0023004899914504,True,True,0.0023004899914504,low
2023-11-06,2023-11-07,2023-11-07,neutral,neutral,0,0,1,0.0028460378421049,False,False,0.0028460378421049,low
2023-11-07,2023-11-08,2023-11-08,positive,neutral,1,0,1,0.0007323995367289,False,True,0.0007323995367289,low
2023-11-08,2023-11-09,2023-11-09,neutral,neutral,0,0,-1,-0.0077987505136863,False,False,0.0077987505136863,high
2023-11-09,2023-11-10,2023-11-10,neutral,negative,0,-1,1,0.0156048060824691,False,False,0.0156048060824691,high
2023-11-13,2023-11-14,2023-11-14,positive,neutral,1,0,1,0.0194007326326286,False,True,0.0194007326326286,high
2023-11-14,2023-11-15,2023-11-15,neutral,neutral,0,0,1,0.002117045141164,False,False,0.002117045141164,low
2023-11-15,2023-11-16,2023-11-16,neutral,neutral,0,0,1,0.0012231327154985,False,False,0.0012231327154985,low
2023-11-16,2023-11-17,2023-11-17,neutral,neutral,0,0,1,0.0012438032670611,False,False,0.0012438032670611,low
2023-11-20,2023-11-21,2023-11-21,neutral,positive,0,1,-1,-0.0021794142796411,False,False,0.0021794142796411,low
2023-11-21,2023-11-22,2023-11-22,negative,neutral,-1,0,1,0.0038608335923762,False,False,0.0038608335923762,low
2023-11-22,2023-11-23,2023-11-24,positive,positive,1,1,1,0.0006153548988119,True,True,0.0006153548988119,low
2023-11-27,2023-11-28,2023-11-28,neutral,neutral,0,0,1,0.0009901022675926,False,False,0.0009901022675926,low
2023-11-28,2023-11-29,2023-11-29,positive,negative,1,-1,-1,-0.0007034210304239,True,False,0.0007034210304239,low
2023-11-29,2023-11-30,2023-11-30,neutral,neutral,0,0,1,0.0039374598064263,False,False,0.0039374598064263,low
2023-11-30,2023-12-01,2023-12-01,negative,neutral,-1,0,1,0.0059158901032843,False,False,0.0059158901032843,high
2023-12-04,2023-12-05,2023-12-05,positive,neutral,1,0,-1,-0.000197062202828,False,False,0.000197062202828,low
2023-12-05,2023-12-06,2023-12-06,neutral,neutral,0,0,-1,-0.0040297772958712,False,False,0.0040297772958712,low
2023-12-06,2023-12-07,2023-12-07,positive,neutral,1,0,1,0.0076304009723535,False,True,0.0076304009723535,high
2023-12-07,2023-12-08,2023-12-08,negative,positive,-1,1,1,0.0042991536422127,True,False,0.0042991536422127,low
2023-12-08,2023-12-09,2023-12-11,neutral,neutral,0,0,1,0.0038895653625894,False,False,0.0038895653625894,low
2023-12-11,2023-12-12,2023-12-12,neutral,neutral,0,0,1,0.0045672328702839,False,False,0.0045672328702839,low
2023-12-12,2023-12-13,2023-12-13,neutral,positive,0,1,1,0.0137901181045381,True,False,0.0137901181045381,high
2023-12-13,2023-12-14,2023-12-14,neutral,neutral,0,0,1,0.0032093725092985,False,False,0.0032093725092985,low
2023-12-14,2023-12-15,2023-12-15,neutral,neutral,0,0,-1,-0.0056778948283112,False,False,0.0056778948283112,high
